frequency,magnitude,phase
1.000000000000000056e-01,-4.342944707063011845e-08,-5.729577932209638930e-03
1.013925407558815134e-01,-4.464741581092135122e-08,-5.809364639512578331e-03
1.028044732093309210e-01,-4.589953910177418765e-08,-5.890262409209479945e-03
1.042360673976401725e-01,-4.718677934202022097e-08,-5.972286713296034479e-03
1.056875971184804280e-01,-4.851012111002393299e-08,-6.055453239221724598e-03
1.071593399822671072e-01,-4.987057502099256401e-08,-6.139777892890126328e-03
1.086515774652538069e-01,-5.126918158428612172e-08,-6.225276801700959164e-03
1.101645949633656418e-01,-5.270701216774485698e-08,-6.311966317634508557e-03
1.116986818467823189e-01,-5.418516610470698209e-08,-6.399863020379003599e-03
1.132541315152811728e-01,-5.570477455131861353e-08,-6.488983720501532819e-03
1.148312414543511129e-01,-5.726699952220636901e-08,-6.579345462663134698e-03
1.164303132920876532e-01,-5.887303678345985428e-08,-6.670965528878643191e-03
1.180516528568805179e-01,-6.052411488830434617e-08,-6.763861441821935293e-03
1.196955702359043389e-01,-6.222149807008321988e-08,-6.858050968177199953e-03
1.213623798344240778e-01,-6.396648334927571361e-08,-6.953552122036887537e-03
1.230524004359261625e-01,-6.576040728378923897e-08,-7.050383168346957379e-03
1.247659552630869806e-01,-6.760464018299477794e-08,-7.148562626400120808e-03
1.265033720395903616e-01,-6.950059285801923962e-08,-7.248109273377711069e-03
1.282649830528060642e-01,-7.144971951472800653e-08,-7.349042147940900924e-03
1.300511252173408849e-01,-7.345350714612287350e-08,-7.451380553871889828e-03
1.318621401394748371e-01,-7.551348999725430297e-08,-7.555144063765843916e-03
1.336983741824946670e-01,-7.763124667223913011e-08,-7.660352522774206349e-03
1.355601785329368647e-01,-7.980839434829586715e-08,-7.767026052400147380e-03
1.374479092677537428e-01,-8.204659938334714839e-08,-7.875185054346887925e-03
1.393619274224142390e-01,-8.434757442303738237e-08,-7.984850214419582717e-03
1.413025990599533765e-01,-8.671307840073301651e-08,-8.096042506481555823e-03
1.432702953409830948e-01,-8.914492328781499981e-08,-8.208783196465624030e-03
1.452653925946780777e-01,-9.164497023636919742e-08,-8.323093846441280072e-03
1.472882723907502633e-01,-9.421512861485890166e-08,-8.438996318738506766e-03
1.493393216124252187e-01,-9.685736661572760793e-08,-8.556512780129024373e-03
1.514189325304352018e-01,-9.957370450510664474e-08,-8.675665706065770894e-03
1.535275028780422601e-01,-1.023662223374354033e-07,-8.796477884981392451e-03
1.556654359271061605e-01,-1.052370570624791483e-07,-8.918972422646614592e-03
1.578331405652117214e-01,-1.081884015610017938e-07,-9.043172746589302896e-03
1.600310313738700918e-01,-1.112225162166959168e-07,-9.169102610575057682e-03
1.622595287078087423e-01,-1.143417221658908500e-07,-9.296786099150187652e-03
1.645190587753662392e-01,-1.175484041905352948e-07,-9.426247632247973171e-03
1.668100537200058742e-01,-1.208450174684901677e-07,-9.557511969859058820e-03
1.691329517029648011e-01,-1.242340846805463843e-07,-9.690604216766877249e-03
1.714881969870540035e-01,-1.277181940817705439e-07,-9.825549827349023754e-03
1.738762400216250781e-01,-1.313000178237271533e-07,-9.962374610445499240e-03
1.762975375287205715e-01,-1.349822907392747959e-07,-1.010110473429471842e-02
1.787525525904234969e-01,-1.387678344507533960e-07,-1.024176673153829112e-02
1.812417547374236826e-01,-1.426595400120902378e-07,-1.038438750429546489e-02
1.837656200388171346e-01,-1.466603900883323574e-07,-1.052899432930824199e-02
1.863246311931560373e-01,-1.507734406334252181e-07,-1.067561486315814732e-02
1.889192776207666291e-01,-1.550018411410900724e-07,-1.082427714755563632e-02
1.915500555573527997e-01,-1.593488250015501565e-07,-1.097500961470317983e-02
1.942174681489025334e-01,-1.638177210734607442e-07,-1.112784109273297871e-02
1.969220255479172399e-01,-1.684119440406353682e-07,-1.128280081122048049e-02
1.996642450109794020e-01,-1.731350127342683894e-07,-1.143991840677458481e-02
2.024446509976803865e-01,-1.779905385610063459e-07,-1.159922392870576385e-02
2.052637752709252084e-01,-1.829822332175682626e-07,-1.176074784477309718e-02
2.081221569986338171e-01,-1.881139212270040796e-07,-1.192452104701128592e-02
2.110203428568595552e-01,-1.933895264381107332e-07,-1.209057485763890410e-02
2.139588871343422183e-01,-1.988130826330353418e-07,-1.225894103504881691e-02
2.169383518385184229e-01,-2.043887431705512342e-07,-1.242965177988211191e-02
2.199593068030074872e-01,-2.101207703784566159e-07,-1.260273974118655826e-02
2.230223297965937546e-01,-2.160135519471429809e-07,-1.277823802266081325e-02
2.261280066337278405e-01,-2.220715922506489941e-07,-1.295618018898565642e-02
2.292769312865649278e-01,-2.282995306688839077e-07,-1.313660027224327655e-02
2.324697059985647851e-01,-2.347021319443541791e-07,-1.331953277842605129e-02
2.357069413996727703e-01,-2.412842881108197468e-07,-1.350501269403591061e-02
2.389892566231049675e-01,-2.480510416371555127e-07,-1.369307549277559537e-02
2.423172794237599403e-01,-2.550075661408027270e-07,-1.388375714233311756e-02
2.456916462982790816e-01,-2.621591856743209916e-07,-1.407709411126069864e-02
2.491130026067788494e-01,-2.695113679750972002e-07,-1.427312337594946641e-02
2.525820026962784515e-01,-2.770697427875699068e-07,-1.447188242770128946e-02
2.560993100258458499e-01,-2.848400893269739944e-07,-1.467340927989911961e-02
2.596655972934870937e-01,-2.928283536372376200e-07,-1.487774247527714512e-02
2.632815465648021269e-01,-3.010406456980018527e-07,-1.508492109329220322e-02
2.669478494034320804e-01,-3.094832500322255004e-07,-1.529498475759779805e-02
2.706652070033241375e-01,-3.181626257061878103e-07,-1.550797364362232512e-02
2.744343303228364839e-01,-3.270854101868008067e-07,-1.572392848625260922e-02
2.782559402207124277e-01,-3.362584309135420178e-07,-1.594289058762465502e-02
2.821307675939472293e-01,-3.456887081914402910e-07,-1.616490182502276773e-02
2.860595535175741722e-01,-3.553834561554058625e-07,-1.639000465888864819e-02
2.900430493863991877e-01,-3.653500895205266586e-07,-1.661824214094214519e-02
2.940820170587062909e-01,-3.755962341896737045e-07,-1.684965792241491928e-02
2.981772290019671923e-01,-3.861297291821603648e-07,-1.708429626239892085e-02
3.023294684405777866e-01,-3.969586343483658017e-07,-1.732220203631103933e-02
3.065395295056526637e-01,-4.080912303697393164e-07,-1.756342074447559201e-02
3.108082173869063936e-01,-4.195360409383370026e-07,-1.780799852082643603e-02
3.151363484866478437e-01,-4.313018163632592122e-07,-1.805598214173014318e-02
3.195247505759211681e-01,-4.433975596074974290e-07,-1.830741903493213196e-02
3.239742629528197249e-01,-4.558325243592850355e-07,-1.856235728862731110e-02
3.284857366030044523e-01,-4.686162237110495174e-07,-1.882084566065705261e-02
3.330600343624588455e-01,-4.817584398026940508e-07,-1.908293358783425681e-02
3.376980310825090648e-01,-4.952692257502580649e-07,-1.934867119539825098e-02
3.424006137971423724e-01,-5.091589172178537804e-07,-1.961810930660133276e-02
3.471686818926561502e-01,-5.234381430252758016e-07,-1.989129945242885944e-02
3.520031472796679717e-01,-5.381178251480081568e-07,-2.016829388145460755e-02
3.569049345675229801e-01,-5.532091931821443232e-07,-2.044914556983346010e-02
3.618749812411279354e-01,-5.687237968806534639e-07,-2.073390823143320474e-02
3.669142378402492910e-01,-5.846735013317505136e-07,-2.102263632810738928e-02
3.720236681413067736e-01,-6.010705120314213483e-07,-2.131538508011125710e-02
3.772042493416998266e-01,-6.179273729547761977e-07,-2.161221047666275763e-02
3.824569722466998889e-01,-6.352569790923187415e-07,-2.191316928665055022e-02
3.877828414589456485e-01,-6.530725870575573957e-07,-2.221831906949116656e-02
3.931828755705769063e-01,-6.713878343735691209e-07,-2.252771818613736460e-02
3.986581073580440782e-01,-6.902167230794414931e-07,-2.284142581023968985e-02
4.042095839796306933e-01,-7.095736669823349506e-07,-2.315950193946364130e-02
4.098383671757261371e-01,-7.294734675493070702e-07,-2.348200740696421845e-02
4.155455334718875515e-01,-7.499313534447557490e-07,-2.380900389302039247e-02
4.213321743847288081e-01,-7.709629747444676910e-07,-2.414055393683155540e-02
4.271993966306779078e-01,-7.925844241508415079e-07,-2.447672094847818530e-02
4.331483223376399461e-01,-8.148122389215565410e-07,-2.481756922104916621e-02
4.391800892596086081e-01,-8.376634288350913101e-07,-2.516316394293786896e-02
4.452958509942655518e-01,-8.611554713691022818e-07,-2.551357121030952552e-02
4.514967772036100890e-01,-8.853063444875803849e-07,-2.586885803974217982e-02
4.577840538376618529e-01,-9.101345198905788505e-07,-2.622909238104369212e-02
4.641588833612778631e-01,-9.356589977300258441e-07,-2.659434313024720484e-02
4.706224849841281754e-01,-9.618993008237821634e-07,-2.696468014278751921e-02
4.771760948938745805e-01,-9.888755035854919807e-07,-2.734017424686109241e-02
4.838209664925955944e-01,-1.016608249382504723e-06,-2.772089725697186868e-02
4.905583706365048147e-01,-1.045118752464556282e-06,-2.810692198766593514e-02
4.973895958790063854e-01,-1.074428824000641405e-06,-2.849832226745728503e-02
5.043159487171360311e-01,-1.104560888472613446e-06,-2.889517295294759952e-02
5.113387538414325695e-01,-1.135537998140128849e-06,-2.929754994314254235e-02
5.184593543892911383e-01,-1.167383854255887296e-06,-2.970553019396750954e-02
5.256791122018421580e-01,-1.200122815744614617e-06,-3.011919173298543626e-02
5.329994080844089321e-01,-1.233779934883222218e-06,-3.053861367431958199e-02
5.404216420705916235e-01,-1.268380959229500047e-06,-3.096387623378409754e-02
5.479472336900287344e-01,-1.303952355730348858e-06,-3.139506074422527410e-02
5.555776222398876030e-01,-1.340521346401945351e-06,-3.183224967107643744e-02
5.633142670601354318e-01,-1.378115901579494165e-06,-3.227552662812946394e-02
5.711586478126432498e-01,-1.416764786205004088e-06,-3.272497639352581200e-02
5.791122647641759880e-01,-1.456497568506286434e-06,-3.318068492597031627e-02
5.871766390733255125e-01,-1.497344645069529230e-06,-3.364273938117074564e-02
5.953533130814369079e-01,-1.539337266876199786e-06,-3.411122812850626157e-02
6.036438506075867405e-01,-1.582507560518314486e-06,-3.458624076792789909e-02
6.120498372476699256e-01,-1.626888553271020391e-06,-3.506786814709456773e-02
6.205728806776501516e-01,-1.672514198165184045e-06,-3.555620237874745904e-02
6.292146109610343707e-01,-1.719419400988635754e-06,-3.605133685832654505e-02
6.379766808606280870e-01,-1.767640049216076130e-06,-3.655336628183224884e-02
6.468607661546326160e-01,-1.817213028402726239e-06,-3.706238666393595754e-02
6.558685659571431570e-01,-1.868176271365123044e-06,-3.757849535634259774e-02
6.650018030431119609e-01,-1.920568763002848742e-06,-3.810179106640903396e-02
6.742622241778342129e-01,-1.974430585622025405e-06,-3.863237387602150297e-02
6.836516004510236888e-01,-2.029802950758227828e-06,-3.917034526073619183e-02
6.931717276155405782e-01,-2.086728217498818168e-06,-3.971580810918610982e-02
7.028244264308348699e-01,-2.145249936842128311e-06,-4.026886674275820949e-02
7.126115430111746862e-01,-2.205412879663084405e-06,-4.082962693554469807e-02
7.225349491787214085e-01,-2.267263077215093938e-06,-4.139819593457192554e-02
7.325965428215229780e-01,-2.330847847167027077e-06,-4.197468248031099858e-02
7.427982482564916555e-01,-2.396215832176464353e-06,-4.255919682747408284e-02
7.531420165974371805e-01,-2.463417043284592151e-06,-4.315185076610025122e-02
7.636298261282243871e-01,-2.532502894632158491e-06,-4.375275764293481279e-02
7.742636826811269968e-01,-2.603526238175433896e-06,-4.436203238310650054e-02
7.850456200204509738e-01,-2.676541411902775438e-06,-4.497979151210637627e-02
7.959777002314983863e-01,-2.751604273586282945e-06,-4.560615317807280300e-02
8.070620141149503768e-01,-2.828772255748672694e-06,-4.624123717438675257e-02
8.183006815867391870e-01,-2.908104387843025720e-06,-4.688516496258170185e-02
8.296958520834906148e-01,-2.989661370506244267e-06,-4.753805969557249600e-02
8.412497049736118448e-01,-3.073505591952850171e-06,-4.820004624120773074e-02
8.529644499741022567e-01,-3.159701199335488799e-06,-4.887125120614989326e-02
8.648423275731722537e-01,-3.248314140211282136e-06,-4.955180296008832724e-02
8.768856094587428318e-01,-3.339412204972520419e-06,-5.024183166028897696e-02
8.890965989529160396e-01,-3.433065091456915727e-06,-5.094146927648623285e-02
9.014776314524917122e-01,-3.529344440628035209e-06,-5.165084961612114584e-02
9.140310748756229620e-01,-3.628323918543488313e-06,-5.237010834993127001e-02
9.267593301146878071e-01,-3.730079248178083785e-06,-5.309938303789659558e-02
9.396648314954693104e-01,-3.834688274998483630e-06,-5.383881315554692876e-02
9.527500472427292699e-01,-3.942231031573549452e-06,-5.458854012063540928e-02
9.660174799522646127e-01,-4.052789793505760097e-06,-5.534870732018347395e-02
